Year,Country_of_Origin_ISO,Country_of_Origin,Country_of_Asylum,Country_of_Asylum_ISO,Country_of_Resettlement_ISO,Country_of_Resettlement,Total_departures_persons
2017,IRQ,"Iraq",JOR,"Jordan",CAN,"Canada",154
2017,IRQ,"Iraq",LBN,"Lebanon",FRA,"France",1
2017,SYR,"Syrian Arab Rep.",ARE,"United Arab Emirates",USA,"United States of America",2
2017,SYR,"Syrian Arab Rep.",EGY,"Egypt",NLD,"Netherlands",1
2017,IRQ,"Iraq",LBN,"Lebanon",USA,"United States of America",117
2017,IRQ,"Iraq",SYR,"Syrian Arab Rep.",NZL,"New Zealand",2
2017,SYR,"Syrian Arab Rep.",MRT,"Mauritania",FIN,"Finland",42
2017,SYR,"Syrian Arab Rep.",LBN,"Lebanon",FIN,"Finland",62
2017,SYR,"Syrian Arab Rep.",EGY,"Egypt",USA,"United States of America",324
2017,SYR,"Syrian Arab Rep.",LBN,"Lebanon",CHE,"Switzerland",388
2017,SYR,"Syrian Arab Rep.",SAU,"Saudi Arabia",USA,"United States of America",1
2017,SYR,"Syrian Arab Rep.",ARE,"United Arab Emirates",CAN,"Canada",9
2017,SYR,"Syrian Arab Rep.",EGY,"Egypt",CAN,"Canada",199
2017,SYR,"Syrian Arab Rep.",LBN,"Lebanon",NZL,"New Zealand",287
2017,IRQ,"Iraq",EGY,"Egypt",DEU,"Germany",9
2017,IRQ,"Iraq",TUN,"Tunisia",USA,"United States of America",4
2017,SYR,"Syrian Arab Rep.",JOR,"Jordan",BEL,"Belgium",156
2017,SYR,"Syrian Arab Rep.",JOR,"Jordan",ITA,"Italy",46
2017,IRQ,"Iraq",JOR,"Jordan",AUS,"Australia",58
2017,SYR,"Syrian Arab Rep.",IRQ,"Iraq",USA,"United States of America",87
2017,SYR,"Syrian Arab Rep.",LBN,"Lebanon",GBR,"United Kingdom of Great Britain and Northern Ireland",3004
2017,SYR,"Syrian Arab Rep.",JOR,"Jordan",CAN,"Canada",1236
2017,IRQ,"Iraq",MAR,"Morocco",FRA,"France",6
2017,IRQ,"Iraq",JOR,"Jordan",NOR,"Norway",3
2017,IRQ,"Iraq",QAT,"Qatar",USA,"United States of America",5
2017,SYR,"Syrian Arab Rep.",ARE,"United Arab Emirates",SWE,"Sweden",11
2017,SYR,"Syrian Arab Rep.",TUN,"Tunisia",FIN,"Finland",1
2017,SYR,"Syrian Arab Rep.",SYR,"Syrian Arab Rep.",NOR,"Norway",3
2017,SYR,"Syrian Arab Rep.",LBN,"Lebanon",SWE,"Sweden",985
2017,IRQ,"Iraq",MAR,"Morocco",GBR,"United Kingdom of Great Britain and Northern Ireland",5
2017,SYR,"Syrian Arab Rep.",DZA,"Algeria",SWE,"Sweden",6
2017,IRQ,"Iraq",ARE,"United Arab Emirates",GBR,"United Kingdom of Great Britain and Northern Ireland",1
2017,SYR,"Syrian Arab Rep.",JOR,"Jordan",AUS,"Australia",8
2017,SYR,"Syrian Arab Rep.",LBY,"Libya",NOR,"Norway",5
2017,IRQ,"Iraq",JOR,"Jordan",USA,"United States of America",132
2017,SYR,"Syrian Arab Rep.",LBN,"Lebanon",ISL,"Iceland",47
2017,IRQ,"Iraq",SYR,"Syrian Arab Rep.",CHE,"Switzerland",47
2017,SYR,"Syrian Arab Rep.",QAT,"Qatar",SWE,"Sweden",1
2017,IRQ,"Iraq",EGY,"Egypt",GBR,"United Kingdom of Great Britain and Northern Ireland",6
2017,SYR,"Syrian Arab Rep.",JOR,"Jordan",NOR,"Norway",259
2017,SYR,"Syrian Arab Rep.",LBN,"Lebanon",CAN,"Canada",1923
2017,SYR,"Syrian Arab Rep.",EGY,"Egypt",PRT,"Portugal",25
2017,SYR,"Syrian Arab Rep.",LBN,"Lebanon",CHL,"Chile",66
2017,IRQ,"Iraq",LBN,"Lebanon",IRL,"Ireland",12
2017,SYR,"Syrian Arab Rep.",ARE,"United Arab Emirates",FIN,"Finland",5
2017,SYR,"Syrian Arab Rep.",LBN,"Lebanon",DNK,"Denmark",5
2017,IRQ,"Iraq",EGY,"Egypt",USA,"United States of America",37
2017,SYR,"Syrian Arab Rep.",JOR,"Jordan",GBR,"United Kingdom of Great Britain and Northern Ireland",879
2017,SYR,"Syrian Arab Rep.",LBN,"Lebanon",BEL,"Belgium",299
2017,SYR,"Syrian Arab Rep.",LBN,"Lebanon",USA,"United States of America",201
2017,SYR,"Syrian Arab Rep.",IRQ,"Iraq",GBR,"United Kingdom of Great Britain and Northern Ireland",227
2017,IRQ,"Iraq",ARE,"United Arab Emirates",NZL,"New Zealand",4
2017,SYR,"Syrian Arab Rep.",LBY,"Libya",SWE,"Sweden",20
2017,SYR,"Syrian Arab Rep.",EGY,"Egypt",DEU,"Germany",71
2017,SYR,"Syrian Arab Rep.",SYR,"Syrian Arab Rep.",CAN,"Canada",1
2017,SYR,"Syrian Arab Rep.",JOR,"Jordan",FIN,"Finland",10
2017,SYR,"Syrian Arab Rep.",LBN,"Lebanon",FRA,"France",1172
2017,IRQ,"Iraq",LBN,"Lebanon",FIN,"Finland",1
2017,SYR,"Syrian Arab Rep.",EGY,"Egypt",AUS,"Australia",4
2017,SYR,"Syrian Arab Rep.",JOR,"Jordan",CHE,"Switzerland",140
2017,IRQ,"Iraq",KWT,"Kuwait",USA,"United States of America",19
2017,SYR,"Syrian Arab Rep.",IRQ,"Iraq",AUS,"Australia",2
2017,SYR,"Syrian Arab Rep.",ARE,"United Arab Emirates",NOR,"Norway",1
2017,SYR,"Syrian Arab Rep.",LBN,"Lebanon",ESP,"Spain",704
2017,IRQ,"Iraq",JOR,"Jordan",GBR,"United Kingdom of Great Britain and Northern Ireland",97
2017,SYR,"Syrian Arab Rep.",EGY,"Egypt",GBR,"United Kingdom of Great Britain and Northern Ireland",287
2017,IRQ,"Iraq",LBN,"Lebanon",SWE,"Sweden",8
2017,IRQ,"Iraq",SYR,"Syrian Arab Rep.",CAN,"Canada",124
2017,SYR,"Syrian Arab Rep.",LBN,"Lebanon",NOR,"Norway",1869
2017,IRQ,"Iraq",ARE,"United Arab Emirates",CAN,"Canada",1
2017,IRQ,"Iraq",LBN,"Lebanon",CAN,"Canada",126
2017,IRQ,"Iraq",SYR,"Syrian Arab Rep.",SWE,"Sweden",3
2017,IRQ,"Iraq",IRQ,"Iraq",SWE,"Sweden",1
2017,SYR,"Syrian Arab Rep.",LBN,"Lebanon",ITA,"Italy",541
2017,IRQ,"Iraq",LBN,"Lebanon",ITA,"Italy",3
2017,SYR,"Syrian Arab Rep.",MAR,"Morocco",CAN,"Canada",16
2017,SYR,"Syrian Arab Rep.",SYR,"Syrian Arab Rep.",CHE,"Switzerland",1
2017,SYR,"Syrian Arab Rep.",LBN,"Lebanon",NLD,"Netherlands",116
2017,SYR,"Syrian Arab Rep.",JOR,"Jordan",SWE,"Sweden",8
2017,IRQ,"Iraq",LBN,"Lebanon",NZL,"New Zealand",2
2017,SYR,"Syrian Arab Rep.",ISR,"Israel",SWE,"Sweden",1
2017,IRQ,"Iraq",BHR,"Bahrain",USA,"United States of America",5
2017,IRQ,"Iraq",TUN,"Tunisia",FRA,"France",1
2017,IRQ,"Iraq",LBN,"Lebanon",LUX,"Luxembourg",1
2017,IRQ,"Iraq",EGY,"Egypt",CAN,"Canada",2
2017,IRQ,"Iraq",LBN,"Lebanon",NLD,"Netherlands",6
2017,SYR,"Syrian Arab Rep.",IRQ,"Iraq",SWE,"Sweden",14
2017,SYR,"Syrian Arab Rep.",LBN,"Lebanon",AUS,"Australia",118
2017,SYR,"Syrian Arab Rep.",LBN,"Lebanon",DEU,"Germany",22
2017,SYR,"Syrian Arab Rep.",LBN,"Lebanon",IRL,"Ireland",261
2018,IRQ,"Iraq",ARE,"United Arab Emirates",SWE,"Sweden",1
2018,IRQ,"Iraq",EGY,"Egypt",CAN,"Canada",6
2018,SYR,"Syrian Arab Rep.",LBN,"Lebanon",AUS,"Australia",185
2018,SYR,"Syrian Arab Rep.",LBY,"Libya",FRA,"France",10
2018,SYR,"Syrian Arab Rep.",LBN,"Lebanon",IRL,"Ireland",333
2018,SYR,"Syrian Arab Rep.",JOR,"Jordan",FRA,"France",67
2018,IRQ,"Iraq",SYR,"Syrian Arab Rep.",GBR,"United Kingdom of Great Britain and Northern Ireland",10
2018,IRQ,"Iraq",JOR,"Jordan",SWE,"Sweden",28
2018,IRQ,"Iraq",EGY,"Egypt",NOR,"Norway",4
2018,IRQ,"Iraq",SYR,"Syrian Arab Rep.",SWE,"Sweden",11
2018,SYR,"Syrian Arab Rep.",JOR,"Jordan",ISL,"Iceland",14
2018,SYR,"Syrian Arab Rep.",LBY,"Libya",ITA,"Italy",26
2018,SYR,"Syrian Arab Rep.",EGY,"Egypt",SWE,"Sweden",217
2018,IRQ,"Iraq",LBN,"Lebanon",GBR,"United Kingdom of Great Britain and Northern Ireland",139
2018,IRQ,"Iraq",SYR,"Syrian Arab Rep.",AUS,"Australia",12
2018,SYR,"Syrian Arab Rep.",JOR,"Jordan",USA,"United States of America",8
2018,IRQ,"Iraq",LBN,"Lebanon",AUS,"Australia",9
2018,IRQ,"Iraq",JOR,"Jordan",CAN,"Canada",311
2018,IRQ,"Iraq",LBN,"Lebanon",FRA,"France",1
2018,SYR,"Syrian Arab Rep.",EGY,"Egypt",NLD,"Netherlands",1
2018,SYR,"Syrian Arab Rep.",JOR,"Jordan",NLD,"Netherlands",157
2018,IRQ,"Iraq",LBN,"Lebanon",USA,"United States of America",3
2018,SYR,"Syrian Arab Rep.",IRQ,"Iraq",NOR,"Norway",8
2018,SYR,"Syrian Arab Rep.",EGY,"Egypt",USA,"United States of America",8
2018,SYR,"Syrian Arab Rep.",LBN,"Lebanon",CHE,"Switzerland",479
2018,SYR,"Syrian Arab Rep.",DZA,"Algeria",FRA,"France",6
2018,SYR,"Syrian Arab Rep.",ARE,"United Arab Emirates",CAN,"Canada",3
2018,SYR,"Syrian Arab Rep.",EGY,"Egypt",CAN,"Canada",85
2018,SYR,"Syrian Arab Rep.",LBN,"Lebanon",NZL,"New Zealand",214
2018,SYR,"Syrian Arab Rep.",JOR,"Jordan",BEL,"Belgium",123
2018,IRQ,"Iraq",LBN,"Lebanon",BEL,"Belgium",1
2018,SYR,"Syrian Arab Rep.",JOR,"Jordan",ITA,"Italy",182
2018,IRQ,"Iraq",JOR,"Jordan",AUS,"Australia",20
2018,SYR,"Syrian Arab Rep.",LBN,"Lebanon",GBR,"United Kingdom of Great Britain and Northern Ireland",1582
2018,IRQ,"Iraq",JOR,"Jordan",ISL,"Iceland",28
2018,SYR,"Syrian Arab Rep.",JOR,"Jordan",CAN,"Canada",981
2018,SYR,"Syrian Arab Rep.",ARE,"United Arab Emirates",SWE,"Sweden",6
2018,SYR,"Syrian Arab Rep.",LBN,"Lebanon",SWE,"Sweden",1589
2018,IRQ,"Iraq",EGY,"Egypt",SWE,"Sweden",1
2018,IRQ,"Iraq",SYR,"Syrian Arab Rep.",NLD,"Netherlands",4
2018,SYR,"Syrian Arab Rep.",DZA,"Algeria",SWE,"Sweden",1
2018,SYR,"Syrian Arab Rep.",JOR,"Jordan",AUS,"Australia",47
2018,IRQ,"Iraq",JOR,"Jordan",FRA,"France",1
2018,IRQ,"Iraq",JOR,"Jordan",USA,"United States of America",9
2018,SYR,"Syrian Arab Rep.",LBN,"Lebanon",ARG,"Argentina",3
2018,SYR,"Syrian Arab Rep.",LBN,"Lebanon",CAN,"Canada",1297
2018,SYR,"Syrian Arab Rep.",EGY,"Egypt",PRT,"Portugal",20
2018,IRQ,"Iraq",JOR,"Jordan",NLD,"Netherlands",1
2018,IRQ,"Iraq",LBN,"Lebanon",IRL,"Ireland",5
2018,IRQ,"Iraq",JOR,"Jordan",CHE,"Switzerland",1
2018,IRQ,"Iraq",LBY,"Libya",CAN,"Canada",29
2018,SYR,"Syrian Arab Rep.",JOR,"Jordan",GBR,"United Kingdom of Great Britain and Northern Ireland",1661
2018,SYR,"Syrian Arab Rep.",LBN,"Lebanon",BEL,"Belgium",343
2018,SYR,"Syrian Arab Rep.",LBN,"Lebanon",USA,"United States of America",1
2018,SYR,"Syrian Arab Rep.",IRQ,"Iraq",GBR,"United Kingdom of Great Britain and Northern Ireland",358
2018,SYR,"Syrian Arab Rep.",LBY,"Libya",SWE,"Sweden",5
2018,SYR,"Syrian Arab Rep.",EGY,"Egypt",DEU,"Germany",106
2018,SYR,"Syrian Arab Rep.",LBN,"Lebanon",FRA,"France",2035
2018,SYR,"Syrian Arab Rep.",EGY,"Egypt",AUS,"Australia",29
2018,SYR,"Syrian Arab Rep.",SYR,"Syrian Arab Rep.",AUS,"Australia",4
2018,SYR,"Syrian Arab Rep.",JOR,"Jordan",CHE,"Switzerland",516
2018,SYR,"Syrian Arab Rep.",ISR,"Israel",FRA,"France",3
2018,SYR,"Syrian Arab Rep.",ARE,"United Arab Emirates",NOR,"Norway",2
2018,SYR,"Syrian Arab Rep.",LBN,"Lebanon",ESP,"Spain",63
2018,IRQ,"Iraq",JOR,"Jordan",GBR,"United Kingdom of Great Britain and Northern Ireland",122
2018,SYR,"Syrian Arab Rep.",EGY,"Egypt",GBR,"United Kingdom of Great Britain and Northern Ireland",501
2018,SYR,"Syrian Arab Rep.",LBN,"Lebanon",NOR,"Norway",1190
2018,SYR,"Syrian Arab Rep.",IRQ,"Iraq",BEL,"Belgium",14
2018,IRQ,"Iraq",ARE,"United Arab Emirates",CAN,"Canada",3
2018,IRQ,"Iraq",LBN,"Lebanon",CAN,"Canada",154
2018,SYR,"Syrian Arab Rep.",LBY,"Libya",CAN,"Canada",86
2018,SYR,"Syrian Arab Rep.",LBN,"Lebanon",ITA,"Italy",56
2018,SYR,"Syrian Arab Rep.",JOR,"Jordan",NZL,"New Zealand",8
2018,SYR,"Syrian Arab Rep.",LBN,"Lebanon",NLD,"Netherlands",2
2018,SYR,"Syrian Arab Rep.",JOR,"Jordan",SWE,"Sweden",640
2019,SYR,"Syrian Arab Rep.",LBN,"Lebanon",ITA,"Italy",254
2019,SYR,"Syrian Arab Rep.",IRQ,"Iraq",SWE,"Sweden",9
2019,IRQ,"Iraq",JOR,"Jordan",DEU,"Germany",32
2019,SYR,"Syrian Arab Rep.",JOR,"Jordan",NZL,"New Zealand",16
2019,SYR,"Syrian Arab Rep.",JOR,"Jordan",IRL,"Ireland",215
2019,SYR,"Syrian Arab Rep.",LBN,"Lebanon",NLD,"Netherlands",176
2019,SYR,"Syrian Arab Rep.",LBN,"Lebanon",DEU,"Germany",763
2019,SYR,"Syrian Arab Rep.",JOR,"Jordan",SWE,"Sweden",600
2019,IRQ,"Iraq",EGY,"Egypt",CAN,"Canada",6
2019,SYR,"Syrian Arab Rep.",LBN,"Lebanon",AUS,"Australia",48
2019,IRQ,"Iraq",ARE,"United Arab Emirates",USA,"United States of America",3
2019,SYR,"Syrian Arab Rep.",SAU,"Saudi Arabia",NOR,"Norway",6
2019,SYR,"Syrian Arab Rep.",JOR,"Jordan",ROU,"Romania",42
2019,SYR,"Syrian Arab Rep.",LBN,"Lebanon",IRL,"Ireland",549
2019,IRQ,"Iraq",KWT,"Kuwait",CAN,"Canada",9
2019,SYR,"Syrian Arab Rep.",JOR,"Jordan",FRA,"France",196
2019,IRQ,"Iraq",SYR,"Syrian Arab Rep.",GBR,"United Kingdom of Great Britain and Northern Ireland",70
2019,SYR,"Syrian Arab Rep.",IRQ,"Iraq",NLD,"Netherlands",1
2019,IRQ,"Iraq",SYR,"Syrian Arab Rep.",SWE,"Sweden",2
2019,IRQ,"Iraq",BHR,"Bahrain",CAN,"Canada",5
2019,SYR,"Syrian Arab Rep.",DZA,"Algeria",CAN,"Canada",1
2019,IRQ,"Iraq",LBN,"Lebanon",DEU,"Germany",3
2019,SYR,"Syrian Arab Rep.",EGY,"Egypt",SWE,"Sweden",382
2019,IRQ,"Iraq",LBN,"Lebanon",GBR,"United Kingdom of Great Britain and Northern Ireland",100
2019,SYR,"Syrian Arab Rep.",MRT,"Mauritania",FRA,"France",10
2019,SYR,"Syrian Arab Rep.",LBN,"Lebanon",FIN,"Finland",6
2019,IRQ,"Iraq",SYR,"Syrian Arab Rep.",AUS,"Australia",1
2019,SYR,"Syrian Arab Rep.",JOR,"Jordan",USA,"United States of America",357
2019,IRQ,"Iraq",LBN,"Lebanon",AUS,"Australia",468
2019,IRQ,"Iraq",JOR,"Jordan",CAN,"Canada",128
2019,IRQ,"Iraq",LBN,"Lebanon",NOR,"Norway",1
2019,IRQ,"Iraq",JOR,"Jordan",IRL,"Ireland",14
2019,SYR,"Syrian Arab Rep.",LBY,"Libya",NLD,"Netherlands",6
2019,SYR,"Syrian Arab Rep.",JOR,"Jordan",ESP,"Spain",414
2019,SYR,"Syrian Arab Rep.",JOR,"Jordan",NLD,"Netherlands",148
2019,IRQ,"Iraq",EGY,"Egypt",DEU,"Germany",18
2019,IRQ,"Iraq",LBN,"Lebanon",USA,"United States of America",19
2019,SYR,"Syrian Arab Rep.",KWT,"Kuwait",CAN,"Canada",14
2019,SYR,"Syrian Arab Rep.",IRQ,"Iraq",NOR,"Norway",7
2019,SYR,"Syrian Arab Rep.",EGY,"Egypt",USA,"United States of America",58
2019,IRQ,"Iraq",YEM,"Yemen",SWE,"Sweden",1
2019,SYR,"Syrian Arab Rep.",IRQ,"Iraq",USA,"United States of America",14
2019,SYR,"Syrian Arab Rep.",LBN,"Lebanon",CHE,"Switzerland",824
2019,SYR,"Syrian Arab Rep.",LBN,"Lebanon",NZL,"New Zealand",74
2019,SYR,"Syrian Arab Rep.",ARE,"United Arab Emirates",CAN,"Canada",47
2019,SYR,"Syrian Arab Rep.",EGY,"Egypt",CAN,"Canada",155
2019,IRQ,"Iraq",SAU,"Saudi Arabia",CAN,"Canada",6
2019,SYR,"Syrian Arab Rep.",JOR,"Jordan",BEL,"Belgium",15
2019,SYR,"Syrian Arab Rep.",EGY,"Egypt",FRA,"France",43
2019,SYR,"Syrian Arab Rep.",JOR,"Jordan",ITA,"Italy",105
2019,IRQ,"Iraq",JOR,"Jordan",AUS,"Australia",27
2019,SYR,"Syrian Arab Rep.",LBN,"Lebanon",GBR,"United Kingdom of Great Britain and Northern Ireland",1572
2019,SYR,"Syrian Arab Rep.",JOR,"Jordan",CAN,"Canada",1035
2019,SYR,"Syrian Arab Rep.",LBY,"Libya",NOR,"Norway",64
2019,SYR,"Syrian Arab Rep.",LBN,"Lebanon",ISL,"Iceland",49
2019,SYR,"Syrian Arab Rep.",ARE,"United Arab Emirates",SWE,"Sweden",6
2019,SYR,"Syrian Arab Rep.",SAU,"Saudi Arabia",CAN,"Canada",45
2019,SYR,"Syrian Arab Rep.",JOR,"Jordan",NOR,"Norway",1
2019,SYR,"Syrian Arab Rep.",LBN,"Lebanon",SWE,"Sweden",50
2019,SYR,"Syrian Arab Rep.",ISR,"Israel",CHE,"Switzerland",34
2019,SYR,"Syrian Arab Rep.",JOR,"Jordan",AUS,"Australia",91
2019,IRQ,"Iraq",JOR,"Jordan",FRA,"France",1
2019,IRQ,"Iraq",JOR,"Jordan",USA,"United States of America",63
2019,IRQ,"Iraq",EGY,"Egypt",USA,"United States of America",8
2019,SYR,"Syrian Arab Rep.",LBN,"Lebanon",CAN,"Canada",1556
2019,SYR,"Syrian Arab Rep.",EGY,"Egypt",PRT,"Portugal",75
2019,IRQ,"Iraq",JOR,"Jordan",NLD,"Netherlands",3
2019,SYR,"Syrian Arab Rep.",ISR,"Israel",ESP,"Spain",9
2019,IRQ,"Iraq",LBN,"Lebanon",IRL,"Ireland",5
2019,IRQ,"Iraq",IRQ,"Iraq",GBR,"United Kingdom of Great Britain and Northern Ireland",4
2019,IRQ,"Iraq",LBY,"Libya",CAN,"Canada",23
2019,SYR,"Syrian Arab Rep.",JOR,"Jordan",GBR,"United Kingdom of Great Britain and Northern Ireland",1171
2019,IRQ,"Iraq",YEM,"Yemen",FIN,"Finland",1
2019,SYR,"Syrian Arab Rep.",LBN,"Lebanon",BEL,"Belgium",9
2019,SYR,"Syrian Arab Rep.",LBN,"Lebanon",USA,"United States of America",62
2019,SYR,"Syrian Arab Rep.",IRQ,"Iraq",GBR,"United Kingdom of Great Britain and Northern Ireland",335
2019,SYR,"Syrian Arab Rep.",EGY,"Egypt",DEU,"Germany",527
2019,SYR,"Syrian Arab Rep.",LBN,"Lebanon",FRA,"France",886
2019,SYR,"Syrian Arab Rep.",EGY,"Egypt",AUS,"Australia",34
2019,SYR,"Syrian Arab Rep.",JOR,"Jordan",CHE,"Switzerland",129
2019,SYR,"Syrian Arab Rep.",ARE,"United Arab Emirates",NOR,"Norway",1
2019,SYR,"Syrian Arab Rep.",MAR,"Morocco",FRA,"France",3
2019,IRQ,"Iraq",JOR,"Jordan",GBR,"United Kingdom of Great Britain and Northern Ireland",96
2019,SYR,"Syrian Arab Rep.",EGY,"Egypt",GBR,"United Kingdom of Great Britain and Northern Ireland",713
2019,SYR,"Syrian Arab Rep.",LBY,"Libya",CAN,"Canada",185
2019,SYR,"Syrian Arab Rep.",JOR,"Jordan",DEU,"Germany",308
2019,SYR,"Syrian Arab Rep.",LBN,"Lebanon",NOR,"Norway",564
2019,SYR,"Syrian Arab Rep.",IRQ,"Iraq",CAN,"Canada",191
2019,IRQ,"Iraq",ARE,"United Arab Emirates",CAN,"Canada",19
2019,IRQ,"Iraq",LBN,"Lebanon",CAN,"Canada",158
2019,IRQ,"Iraq",LBN,"Lebanon",NZL,"New Zealand",13
